,blockchain,amount_coin,amount_usd,from_to,id,date
0,ETH,1600,3497639,unknown-unknown,1787387072,2022-01-24 11:05:53
1,XRP,1790000,1004869.94,exchange-unknown,1787386924,2022-01-24 11:06:06
2,USDT,522708.16,522708.16,unknown-unknown,1787386929,2022-01-24 11:06:12
3,USDT,500000,500000,unknown-unknown,1787386945,2022-01-24 11:06:18
4,USDT,500000,500000,unknown-unknown,1787387085,2022-01-24 11:06:25
5,USDT,500000,500000,unknown-unknown,1787387218,2022-01-24 11:06:43
6,ETH,360.99026,787866.44,unknown-exchange,1787387505,2022-01-24 11:06:49
7,USDT,762931.7,762931.7,exchange-unknown,1787387499,2022-01-24 11:07:14
8,USDT,1000000,1000000,exchange-exchange,1787387611,2022-01-24 11:08:09
9,USDT,998200,998200,exchange-unknown,1787387704,2022-01-24 11:08:16
10,USDT,600000,600000,unknown-unknown,1787387754,2022-01-24 11:08:22
11,USDT,918716.7,918716.7,exchange-unknown,1787387876,2022-01-24 11:08:34
12,USDC,3500000.8,3500000.8,unknown-unknown,1787387931,2022-01-24 11:08:40
13,LINK,55284.934,756510.2,exchange-unknown,1787388197,2022-01-24 11:08:47
14,USDT,550000,550000,unknown-exchange,1787388082,2022-01-24 11:08:53
15,USDT,2983008,2983008,exchange-unknown,1787388162,2022-01-24 11:09:11
16,USDT,999965,999965,exchange-unknown,1787388481,2022-01-24 11:09:17
17,BUSD,1999965,1999965,exchange-exchange,1787388548,2022-01-24 11:09:24
18,USDT,653565,653565,unknown-unknown,1787388618,2022-01-24 11:10:01
19,USDT,1000000,1000000,exchange-unknown,1787388657,2022-01-24 11:10:13
20,ETH,379.88922,831645.3,exchange-exchange,1787388919,2022-01-24 11:10:25
21,USDT,1130041.1,1130041.1,exchange-exchange,1787389424,2022-01-24 11:10:38
22,USDT,2735020,2735020,unknown-unknown,1787389150,2022-01-24 11:11:15
23,ETH,347,758007.8,unknown-exchange,1787390019,2022-01-24 11:11:46
24,USDT,2638419,2638419,exchange-unknown,1787389354,2022-01-24 11:11:58
25,USDT,601908.9,601908.9,unknown-unknown,1787390176,2022-01-24 11:12:42
26,USDT,2735020,2735020,unknown-exchange,1787389752,2022-01-24 11:13:00
27,USDT,2203415,2203415,exchange-unknown,1787389782,2022-01-24 11:14:08
28,USDT,1597193.9,1597193.9,exchange-unknown,1787389863,2022-01-24 11:14:20
29,USDT,949965,949965,exchange-unknown,1787391287,2022-01-24 11:14:51
30,ETH,500.99307,1098895.5,unknown-unknown,1787391630,2022-01-24 11:15:41
31,XRP,1076623,607122.75,exchange-unknown,1787390726,2022-01-24 11:16:12
32,USDT,2000000,2000000,unknown-unknown,1787391932,2022-01-24 11:17:51
33,USDC,1501099.4,1501099.4,unknown-unknown,1787391958,2022-01-24 11:18:34
34,USDT,2154983,2154983,exchange-unknown,1787391982,2022-01-24 11:18:46
35,USDT,1000000,1000000,unknown-unknown,1787390945,2022-01-24 11:18:52
36,USDT,1000000,1000000,unknown-exchange,1787392094,2022-01-24 11:19:05
37,USDT,2000000,2000000,unknown-unknown,1787392120,2022-01-24 11:19:11
38,USDT,416728350,416728350,exchange-exchange,1787391383,2022-01-24 11:20:07
39,USDT,1318161.4,1318161.4,unknown-unknown,1787392281,2022-01-24 11:20:25
40,HUSD,999999,999999,unknown-exchange,1787392296,2022-01-24 11:21:21
41,EOS,310437.47,625860.44,exchange-unknown,1787392329,2022-01-24 11:21:27
42,ETH,14109.747,30733410,exchange-exchange,1787392581,2022-01-24 11:21:52
43,USDC,648529.06,648529.06,unknown-unknown,1787392805,2022-01-24 11:21:58
44,USDT,2203415,2203415,unknown-unknown,1787392688,2022-01-24 11:22:17
45,USDC,500000,500000,unknown-unknown,1787393426,2022-01-24 11:22:29
46,USDT,500000,500000,exchange-unknown,1787393540,2022-01-24 11:23:12
47,ETH,500,1100528.1,unknown-unknown,1787393731,2022-01-24 11:23:37
48,USDT,1301239.1,1301239.1,unknown-exchange,1787393790,2022-01-24 11:24:20
49,ETH,401.1872,883035.56,unknown-exchange,1787393913,2022-01-24 11:24:39
50,USDT,700000,700000,unknown-unknown,1787393836,2022-01-24 11:24:51
51,USDT,1000000,1000000,exchange-unknown,1787393883,2022-01-24 11:25:04
